step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,2740,1742,0.12126418071986167,299,194,0.1292838277471176,2441,1548,0.1202591345161875,207,0.8,0.3,7730,783,6947
5000,3734,1809,0.13628777018929605,357,176,0.1279756106644563,3377,1633,0.13718363061573313,208,0.8,0.5,6652,648,6004
5000,2663,1653,0.14056458599740726,246,167,0.14139146759411456,2417,1486,0.14047165919616222,209,0.8,0.7,7811,804,7007
5000,8866,541,0.21746395350238468,926,45,0.24453584183542437,7940,496,0.21500783460120163,210,0.8,0.9,1568,148,1420
5000,1782,2806,0.09999999999999992,168,264,0.10000000000000005,1614,2542,0.10000000000000009,211,0.0,0.1,8664,851,7813
5000,925,649,0.30000000000000027,92,63,0.3000000000000001,833,586,0.30000000000000027,212,0.0,0.3,9514,904,8610
5000,1388,550,0.5,137,51,0.5,1251,499,0.5,213,0.0,0.5,9174,917,8257
3530,7236,0,0.0,748,0,0.0,6488,0,0.0,214,0.0,0.7,268,15,253
1885,4088,0,0.0,391,0,0.0,3697,0,0.0,215,0.0,0.9,149,9,140
5000,2646,1826,0.1268885070730575,263,215,0.10482729000085758,2383,1611,0.12983274150541194,216,0.8,0.1,7839,818,7021
5000,2388,1941,0.12952371619180206,235,186,0.11781344147205135,2153,1755,0.1307648051364594,217,0.8,0.3,7994,820,7174
5000,5711,1494,0.18443494377774988,599,162,0.20587598094864895,5112,1332,0.18182725006777556,218,0.8,0.5,4745,491,4254
5000,5409,1404,0.17366667965536176,499,155,0.1685700913433206,4910,1249,0.17429916259240447,219,0.8,0.7,5048,534,4514
5000,6907,1051,0.17806652809154902,722,92,0.1423551517715068,6185,959,0.1814924369773092,220,0.8,0.9,3533,316,3217
5000,2679,3146,0.09999999999999998,253,309,0.10000000000000005,2426,2837,0.09999999999999998,221,0.0,0.1,7833,785,7048
5000,857,734,0.30000000000000043,81,70,0.3,776,664,0.3000000000000003,222,0.0,0.3,9741,966,8775
5000,3205,802,0.5,336,77,0.5,2869,725,0.5,223,0.0,0.5,7524,718,6806
5000,9523,24,0.6999999999999998,924,1,0.7,8599,23,0.7,224,0.0,0.7,1000,97,903
1589,3401,0,0.0,325,0,0.0,3076,0,0.0,225,0.0,0.9,149,13,136
5000,5287,1673,0.1525626360995335,527,173,0.1592222050192091,4760,1500,0.15179456581746423,226,0.8,0.1,5232,492,4740
5000,2533,1829,0.12765170707840692,263,186,0.14211787649561303,2270,1643,0.12601402752174207,227,0.8,0.3,8007,820,7187
